Name,BSE Code,NSE Code,Industry,Market Capitalization
M & M Fin. Serv.,532720,M&MFIN,Non Banking Financial Company (NBFC),52165.61
Laurus Labs,540222,LAURUSLABS,Pharmaceuticals,52020.9
Balkrishna Inds,502355,BALKRISIND,Tyres & Rubber Products,51845.92
Linde India,523457,LINDEINDIA,Industrial Gases,50968.07
Godrej Propert.,533150,GODREJPROP,"Residential, Commercial Projects",50854.77
F A C T,590024,FACT,Fertilizers,50446.43
Mphasis,526299,MPHASIS,Computers - Software & Consulting,50445.66
Bank of Maha,532525,MAHABANK,Public Sector Bank,49926.08
I R C T C,542830,IRCTC,"Tour, Travel Related Services",49767.99
Altius Telecom,543225,,Telecom - Infrastructure,47844.18
P I Industries,523642,PIIND,Pesticides & Agrochemicals,47691.74
Supreme Inds.,509930,SUPREMEIND,Plastic Products - Industrial,47517.57
Voltas,500575,VOLTAS,Household Appliances,47167.44
Bharat Dynamics,541143,BDL,Aerospace & Defense,46647.57
Motil.Oswal.Fin.,532892,MOTILALOFS,Stockbroking & Allied,46347.28
360 ONE,542772,360ONE,Stockbroking & Allied,46259.12
Tube Investments,540762,TIINDIA,Auto Components & Equipments,46092.14
Petronet LNG,532522,PETRONET,LPG/CNG/PNG/LNG Supplier,44857.56
J K Cements,532644,JKCEMENT,Cement & Cement Products,44280.11
Tata Comm,500483,TATACOMM,Telecom - Cellular & Fixed line services,44086.11
KEI Industries,517569,KEI,Cables - Electricals,42476.3
Authum Invest,539177,AIIL,Non Banking Financial Company (NBFC),42439.84
Embassy Off.REIT,542602,EMBASSY,Real Estate Investment Trusts (REITs),41708.26
Escorts Kubota,500495,ESCORTS,Tractors,41558.28
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals,41429.35
Dalmia BharatLtd,542216,DALBHARAT,Cement & Cement Products,40438.58
Astral,532830,ASTRAL,Plastic Products - Industrial,40394.24
L&T Technology,540115,LTTS,IT Enabled Services,40348.52
3M India,523395,3MINDIA,Diversified,39878.23
Container Corpn.,531344,CONCOR,Logistics Solution Provider,39767.81
Page Industries,532827,PAGEIND,Garments & Apparels,39753.33
United Breweries,532478,UBL,Breweries & Distilleries,39225.97
Hexaware Tech.,544362,HEXT,Computers - Software & Consulting,39182.69
Cochin Shipyard,540678,COCHINSHIP,Ship Building & Allied Services,39022.63
H U D C O,540530,HUDCO,Financial Institution,38973.14
Mindspace Busine,543217,MINDSPACE,Real Estate Investment Trusts (REITs),38936.67
Kalyan Jewellers,543278,KALYANKJIL,"Gems, Jewellery And Watches",38848.62
P & G Hygiene,500459,PGHH,Personal Care,38318.83
Apar Inds.,532259,APARINDS,Other Electrical Equipment,38302.71
Blue Star,500067,BLUESTARCO,Household Appliances,38288.53
Piramal Finance.,544597,PIRAMALFIN,Housing Finance Company,38287.12
ITC Hotels,544325,ITCHOTELS,Hotels & Resorts,38135.2
Gujarat Fluoroch,542812,FLUOROCHEM,Specialty Chemicals,37190.21
Radico Khaitan,532497,RADICO,Breweries & Distilleries,37049.66
AIA Engineering,532683,AIAENG,Castings & Forgings,36801.01
Ipca Labs.,524494,IPCALAB,Pharmaceuticals,36506.16
Indian Renewable,544026,IREDA,Financial Institution,36475.43
Jubilant Food.,533155,JUBLFOOD,Restaurants,35985.57
NLC India,513683,NLCINDIA,Power Generation,35970.26
UCO Bank,532505,UCOBANK,Public Sector Bank,35838.06
Anthem Bioscienc,544449,ANTHEM,Biotechnology,35688.77
Premier Energies,544238,PREMIERENE,Other Electrical Equipment,35666.61
Narayana Hrudaya,539551,NH,Hospital,35408.69
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals,35138.33
Physicswallah,544609,PWL,E-Learning,34762.42
Thermax,500411,THERMAX,Heavy Electrical Equipment,34704.26
Endurance Tech.,540153,ENDURANCE,Auto Components & Equipments,34462.39
CRISIL,500092,CRISIL,Other Financial Services,33914
K P R Mill Ltd,532889,KPRMILL,Other Textile Products,33764.3
Tata Elxsi,500408,TATAELXSI,Computers - Software & Consulting,33621.57
Godrej Industrie,500164,GODREJIND,Diversified,33530.04
Central Bank,532885,CENTRALBK,Public Sector Bank,33445.08
Poonawalla Fin,524000,POONAWALLA,Non Banking Financial Company (NBFC),33329.57
Delhivery,543529,DELHIVERY,Logistics Solution Provider,33261.35
Sona BLW Precis.,543300,SONACOMS,Auto Components & Equipments,32609.02
Apollo Tyres,500877,APOLLOTYRE,Tyres & Rubber Products,32269.34
Navin Fluo.Intl.,532504,NAVINFLUOR,Specialty Chemicals,32197.44
M R P L,500109,MRPL,Refineries & Marketing,31988.46
Chola Financial,504973,CHOLAHLDNG,Investment Company,31508.38
ACC,500410,ACC,Cement & Cement Products,31487.13
Tata Inv.Corpn.,501301,TATAINVEST,Investment Company,31466.12
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes & Tobacco Products,30945.1
TVS Holdings,520056,TVSHLTD,Investment Company,30747.16
Gland Pharma,543245,GLAND,Pharmaceuticals,30529.76
Karur Vysya Bank,590003,KARURVYSYA,Private Sector Bank,30381.99
J B Chemicals &,506943,JBCHEPHARM,Pharmaceuticals,29814.09
Global Health,543654,MEDANTA,Hospital,29809.75
Motherson Wiring,543498,MSUMI,Auto Components & Equipments,29589.94
National High,543385,NHIT,"Road AssetsToll, Annuity, Hybrid-Annuity",29440.13
Inventurus Knowl,544309,IKS,IT Enabled Services,29109.66
Gujarat Gas,539336,GUJGASLTD,LPG/CNG/PNG/LNG Supplier,29005.32
Go Digit General,544179,GODIGIT,General Insurance,28875.37
Honeywell Auto,517174,HONAUT,Industrial Products,28742.32
ZF Commercial,533023,ZFCVINDIA,Auto Components & Equipments,28721.3
Exide Inds.,500086,EXIDEIND,Auto Components & Equipments,28619.62
C D S L,,CDSL,"Depositories, Clearing Houses and Other Intermediaries",28492.97
SJVN,533206,SJVN,Power Generation,28369.19
LIC Housing Fin.,500253,LICHSGFIN,Housing Finance Company,28361.25
ITI,523610,ITI,Telecom -  Equipment & Accessories,28249.41
Metro Brands,543426,METROBRAND,Footwear,28244.75
Gillette India,507815,GILLETTE,Personal Care,28118.83
Emcure Pharma,544210,EMCURE,Pharmaceuticals,28094.85
Garden Reach Sh.,542011,GRSE,Aerospace & Defense,27942.04
AWL Agri Busine.,543458,AWL,Edible Oil,27911.92
Aster DM Health.,540975,ASTERDM,Hospital,27887.8
Force Motors,500033,FORCEMOT,Passenger Cars & Utility Vehicles,27797.25
The Ramco Cement,500260,RAMCOCEM,Cement & Cement Products,27395.52
Star Health Insu,543412,STARHEALTH,General Insurance,27369.23
Brookfield India,543261,BIRET,Real Estate Investment Trusts (REITs),27318.26
Ather Energy,544397,ATHERENERG,2/3 Wheelers,27300.22
NBCC,534309,NBCC,Civil Construction,27264.34
KPIT Technologi.,542651,KPITTECH,Computers - Software & Consulting,26332.27
PTC Industries,539006,PTCIL,Other Industrial Products,26197.76
Tata Technolog.,544028,TATATECH,IT Enabled Services,26094.54
IRB Infra.Devl.,532947,IRB,Civil Construction,25526.89
Bandhan Bank,541153,BANDHANBNK,Private Sector Bank,25419.51
Aegis Vopak Term,544407,AEGISVOPAK,Oil Storage & Transportation,25306.58
Pine Labs,544606,PINELABS,Financial Technology (Fintech),25175.29
Nuvama Wealth,543988,NUVAMA,Stockbroking & Allied,25108.11
Manappuram Fin.,531213,MANAPPURAM,Non Banking Financial Company (NBFC),24944.42
Asahi India Glas,515030,ASAHIINDIA,Auto Components & Equipments,24676.84
New India Assura,540769,NIACL,General Insurance,24424.71
Anand Rathi Wea.,543415,ANANDRATHI,Financial Products Distributor,24416.48
Krishna Institu.,543308,KIMS,Hospital,24270.41
Indraprastha Gas,532514,IGL,LPG/CNG/PNG/LNG Supplier,24249.43
Kaynes Tech,543664,KAYNES,Industrial Products,24240.4
Aegis Logistics,500003,AEGISLOG,Trading - Gas,24108.57
Shyam Metalics,543299,SHYAMMETL,Iron & Steel Products,24072.33
Angel One,543235,ANGELONE,Stockbroking & Allied,24046.8
Nexus Select,543913,NXST,Real Estate Investment Trusts (REITs),24044.7
Timken India,522113,TIMKEN,Abrasives & Bearings,23912
Dr Lal Pathlabs,539524,LALPATHLAB,Healthcare Service Provider,23656.31
Aditya AMC,543374,ABSLAMC,Asset Management Company,23447.97
Affle 3i,542752,AFFLE,IT Enabled Services,23409.45
Himadri Special,500184,HSCL,Carbon Black,22950.75
Wockhardt,532300,WOCKPHARMA,Pharmaceuticals,22610.8
Amber Enterp.,540902,AMBER,Household Appliances,22509.75
Sagility,544282,SAGILITY,IT Enabled Services,22269.08
Tenneco Clean,544612,TENNIND,Auto Components & Equipments,22161.92
Welspun Corp,532144,WELCORP,Iron & Steel Products,22124.16
PNB Housing,540173,PNBHOUSING,Housing Finance Company,22035.19
Emami,531162,EMAMILTD,Personal Care,22023.06
KIOCL,540680,KIOCL,Sponge Iron,21930.54
Deepak Nitrite,506401,DEEPAKNTR,Specialty Chemicals,21921.02
City Union Bank,532210,CUB,Private Sector Bank,21802.91
HBL Engineering,517271,HBLENGINE,Other Industrial Products,21607.38
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals,21534.5
Pfizer,500680,PFIZER,Pharmaceuticals,21517.44
eClerx Services,532927,ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),21447.78
IIFL Finance,532636,IIFL,Non Banking Financial Company (NBFC),21419.67
